# orig_pattern	bids_suffix
# Columns: orig (glob pattern from scanner BIC Siemens Terra 7T) | bids (BIDS entity string)
*anat-T1w_acq-mprage_07mm_UP	T1w
*fmap-b1_acq-*_p2	acq-anat_TB1TFL
*fmap-fmri_acq-mbep2d_SE_19mm_dir-AP	acq-fmri_dir-AP_epi
*fmap-fmri_acq-mbep2d_SE_19mm_dir-PA	acq-fmri_dir-PA_epi
*fmap-fmri_acq-mbep2d_SE_19mm_dir-AP_Q1K	acq-fmriQ1K_dir-AP_epi
*fmap-fmri_acq-mbep2d_SE_19mm_dir-PA_Q1K	acq-fmriQ1K_dir-PA_epi
*func-rsfmri_acq-singleE_1*	task-rest_acq-singleE_bold
*func-rsfmri_acq-mbep2d_ME_19mm	task-rest_bold
*func-rsfmri_acq-mbep2d_ME_19mm_Q1K	task-rest_acq-Q1K_bold
*func-epiencode_acq-mbep2d_ME_19mm*	task-epiencode_bold
*func-epiretrieve_acq-mbep2d_ME_19mm	task-epiretrieve_bold
*func-pattersep1_acq-mbep2d_ME_19mm	task-patternsep1_bold
*func-patter*sep2_acq-mbep2d_ME_19mm	task-patternsep2_bold
*func-semantic1_acq-mbep2d_ME_19mm	task-semantic1_bold
*func-semantic2_acq-mbep2d_ME_19mm	task-semantic2_bold
*func-spatial1_acq-mbep2d_ME_19mm	task-spatial1_bold
*func-spatial2_acq-mbep2d_ME_19mm	task-spatial2_bold
*func-movie*1_acq-mbep2d_ME_19mm	task-movies1_bold
*func-movie*2_acq-mbep2d_ME_19mm	task-movies2_bold
*func-movies3_acq-mbep2d_ME_19mm	task-movies3_bold
*func-movies4_acq-mbep2d_ME_19mm	task-movies4_bold
*func-movie1action_acq-mbep2d_ME_19mm	task-caddy_bold
*func-movie2control_acq-mbep2d_ME_19mm	task-harsh_bold
*func-movie3control_acq-mbep2d_ME_19mm	task-pines_bold
*func-movie4action_acq-mbep2d_ME_19mm	task-bathroom_bold
*func-semphon1_acq-mbep2d_ME_19mm	task-semphon1_bold
*func-semphon2_acq-mbep2d_ME_19mm	task-semphon2_bold
*func-audiobook1_acq-mbep2d_ME_19mm	task-audiobook1_bold
*func-audiobook2_acq-mbep2d_ME_19mm	task-audiobook2_bold
*func-caddy_acq-mbep2d_ME_19mm	task-caddy_bold
*func-harsh_acq-mbep2d_ME_19mm	task-harsh_bold
*func-pines_acq-mbep2d_ME_19mm	task-pines_bold
*func-bathroom_acq-mbep2d_ME_19mm	task-bathroom_bold
*func-oceans11_acq-mbep2d_ME_19mm	task-oceans11_bold
*func-social_acq-mbep2d_ME_19mm	task-social_bold
*func-sens1_acq-mbep2d_ME_19mm	task-sens2_bold
*func-sens2_acq-mbep2d_ME_19mm	task-sens1_bold
*func-slient1_acq-mbep2d_ME_19mm	task-silent1_bold
*func-silent1_acq-mbep2d_ME_19mm	task-silent1_bold
*func-silent2_acq-mbep2d_ME_19mm	task-silent2_bold
*anat-T1w_acq-mp2rage_07mm_CSptx_INV1	acq-07mm_inv-1_MP2RAGE
*anat-T1w_acq-mp2rage_07mm_CSptx_INV2	acq-07mm_inv-2_MP2RAGE
*anat-T1w_acq-mp2rage_07mm_CSptx_T1_Images	acq-07mm_T1map
*anat-T1w_acq-mp2rage_07mm_CSptx_UNI_Images	acq-07mm_UNIT1
*anat-T1w_acq-mp2rage_07mm_CSptx_UNI-DEN	acq-07mm_rec-denoised_UNIT1
*anat-T1w_acq-mp2rage_05mm_UP*_INV1	acq-05mm_inv-1_MP2RAGE
*anat-T1w_acq-mp2rage_05mm_UP*_INV2	acq-05mm_inv-2_MP2RAGE
*anat-T1w_acq-mp2rage_05mm_UP*_T1_Images	acq-05mm_T1map
*anat-T1w_acq-mp2rage_05mm_UP*_UNI_Images	acq-05mm_UNIT1
*cstfl-mp2rage-05mm_INV1	acq-cstfl_inv-1_MP2RAGE
*cstfl-mp2rage-05mm_INV2	acq-cstfl_inv-2_MP2RAGE
*cstfl-mp2rage-05mm_T1_Images	acq-cstfl_T1map
*cstfl-mp2rage-05mm_UNI_Images	acq-cstfl_UNIT1
*cstfl-mp2rage-05mm_UNI-DEN	acq-cstflDenoised_UNIT1
*anat-flair_acq-0p7mm_UPAdia	FLAIR
*anat-flair_acq-07iso_dev3_5SD_UP	FLAIR
*CLEAR-SWI_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-SWI_T2starw
*Romeo_P_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-romeo_T2starw
*Romeo_Mask_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-romeo_rec-mask_T2starw
*Romeo_B0_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-romeo_rec-unwrapped_T2starw
*Aspire_M_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-aspire_T2starw
*Aspire_P_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-aspire_T2starw
*EchoCombined_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-aspire_rec-echoCombined_T2starw
*sensitivity_corrected_mag_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-aspire_rec-echoCombinedSensitivityCorrected_T2starw
*T2star_anat-T2star_acq-me_gre_0*7iso_ASPIRE	acq-aspire_T2starw
*anat-T2star_acq-me_gre_07mm*	acq-me_T2starw
*T2Star_Images	acq-me_T2starmap
*_MTON	mt-on_MTR
*_MTOFF	mt-off_MTR
*_T1W	acq-MTR_T1w
*anat-mtw_acq-MTON_07mm	acq-mtw_mt-on_MTR
*anat-mtw_acq-MTOFF_07mm	acq-mtw_mt-off_MTR
*anat-mtw_acq-T1w_07mm	acq-mtw_T1w
*anat-angio_acq-tof_03mm_inplane	angio
*anat-angio_acq-tof_03mm_inplane_MIP_SAG	acq-sag_angio
*anat-angio_acq-tof_03mm_inplane_MIP_COR	acq-cor_angio
*anat-angio_acq-tof_03mm_inplane_MIP_TRA	acq-tra_angio
